ID,Name,Age,Marks,Grade
1031,Rachel,25,56.56,D
1032,John,23,85.4,B
1033,Alice,24,54.19,B
1034,Nina,22,72.34,B
1035,Rachel,21,87.21,F
1036,Alice,20,90.68,B
1037,Rachel,23,98.31,F
1038,John,21,75.56,A
1039,Mike,19,98.02,C
1040,Rachel,21,54.23,B
1041,Sara,25,59.31,F
1042,Tom,25,97.46,B
1043,Emma,19,92.23,D
1044,Emma,21,60.98,A
1045,Rachel,24,62.77,F
1046,Sara,21,93.55,F
1047,James,18,78.21,B
1048,John,23,84.06,C
1049,James,18,53.74,C
1050,Mike,20,69.17,C
1051,Nina,24,86.57,D
1052,James,24,90.79,B
1053,Nina,25,78.31,A
1054,Alice,25,88.99,C
1055,David,21,74.18,C
1056,Mike,20,79.66,B
1057,Nina,21,76.25,A
1058,James,22,57.97,B
1059,Mike,22,82.23,B
1060,Emma,18,99.27,A
1061,Rachel,22,69.37,C
1062,Mike,20,90.4,B
1063,Alice,23,71.81,C
1064,Mike,23,78.69,A
1065,Emma,22,63.75,A
1066,Alice,21,96.87,D
1067,Nina,18,70.02,B
1068,David,22,54.85,B
1069,David,22,86.69,C
1070,Sara,25,53.41,C
1071,James,24,77.65,B
1072,Nina,24,87.17,C
1073,Tom,21,53.29,F
1074,Emma,23,87.86,D
1075,Alice,22,61.91,F
1076,Nina,19,74.61,C
1077,David,19,51.54,C
1078,John,20,75.68,F
1079,Alice,20,96.56,A
1080,Tom,25,63.2,C
1081,Alice,19,88.62,F
1082,Mike,19,61.31,F
1083,James,23,64.5,B
1084,David,18,85.37,A
1085,Alice,20,80.35,B
1086,John,25,62.47,C
1087,Sara,18,86.61,F
1088,Emma,21,73.02,F
1089,Alice,19,77.68,C
1090,Sara,24,74.74,F
1091,Rachel,25,56.96,A
1092,John,22,68.28,A
1093,Mike,19,60.93,B
1094,James,19,88.14,D
1095,David,25,94.58,F
1096,Emma,20,94.3,C
1097,James,23,87.78,C
1098,Sara,18,67.7,F
1099,Sara,25,83.24,F
1100,Mike,18,62.8,A
1101,David,23,86.87,F
1102,Emma,20,85.13,D
1103,Sara,22,57.58,D
1104,James,24,73.92,F
1105,James,20,68.45,C
1106,Alice,21,82.14,C
1107,Rachel,21,87.23,B
1108,Alice,23,55.91,A
1109,Emma,22,99.14,D
1110,Tom,24,81.99,F
1111,Mike,23,74.66,F
1112,Tom,18,61.67,B
1113,David,22,78.59,B
1114,Mike,24,82.76,F
1115,Alice,21,71.77,C
1116,James,21,67.29,A
1117,Alice,24,56.45,A
1118,Mike,19,70.98,C
1119,Alice,25,70.36,B
1120,Rachel,22,64.78,C
1121,Emma,24,50.85,F
1122,David,18,90.97,A
1123,Alice,25,73.31,A
1124,Alice,19,80.95,F
1125,Tom,25,50.33,F
1126,Nina,20,87.38,B
1127,Alice,25,56.39,C
1128,Tom,21,52.26,B
1129,Sara,18,91.22,C
1130,Sara,18,85.31,F
1131,Sara,24,60.04,C
1132,John,25,54.63,F
1133,Sara,24,50.29,F
1134,John,20,69.54,F
1135,Nina,21,59.0,C
1136,James,21,80.65,A
1137,Rachel,22,62.13,F
1138,James,22,82.81,F
1139,Rachel,19,87.2,C
1140,Sara,19,79.01,F
1141,Sara,23,95.7,C
1142,Mike,24,66.93,D
1143,Mike,20,90.28,A
1144,Emma,19,81.16,D
1145,James,19,92.73,B
1146,Sara,25,51.07,A
1147,James,23,91.01,D
1148,Tom,23,76.76,D
1149,John,24,50.85,F
1150,Nina,20,84.05,C
1151,Mike,18,67.42,C
1152,Sara,20,71.34,C
1153,John,21,96.13,C
1154,Alice,25,84.92,C
1155,Rachel,20,68.43,A
1156,Alice,21,98.2,C
1157,John,23,69.75,C
1158,David,25,92.2,D
1159,Sara,21,56.0,F
1160,Mike,21,82.9,B
1161,Nina,24,91.17,F
1162,Alice,20,74.07,D
1163,James,18,72.88,B
1164,Emma,19,86.13,B
1165,Nina,25,96.55,B
1166,Alice,23,99.3,C
1167,Mike,23,94.05,F
1168,Nina,19,78.87,B
1169,John,25,59.73,B
1170,Tom,24,58.43,F
1171,David,23,86.03,B
1172,Rachel,23,65.76,A
1173,Alice,18,69.93,C
1174,Rachel,24,85.63,F
1175,John,23,76.92,F
1176,John,24,66.36,B
1177,Sara,22,64.36,A
1178,Rachel,23,96.04,F
1179,Sara,20,60.73,F
1180,James,19,81.96,C
1181,Emma,23,78.89,A
1182,Alice,25,93.4,A
1183,Rachel,18,51.88,C
1184,Mike,24,98.93,B
1185,James,25,63.29,C
1186,Emma,24,85.44,F
1187,John,22,84.2,F
1188,Mike,25,69.6,B
1189,Rachel,22,69.16,B
1190,Sara,20,93.42,D
1191,John,21,93.62,C
1192,James,22,90.51,B
1193,David,18,74.8,C
1194,David,23,73.72,C
1195,Emma,21,68.36,C
1196,Mike,18,91.11,C
1197,Tom,18,61.4,F
1198,Sara,18,55.18,B
1199,Mike,24,83.63,F
1200,Nina,24,90.56,C
1201,David,19,75.69,D
1202,Alice,21,63.73,B
1203,John,19,66.55,C
1204,David,20,57.57,C
1205,Tom,22,82.98,C
1206,Alice,23,62.52,F
1207,David,18,74.76,B
1208,James,22,52.56,D
1209,James,21,53.96,F
1210,Emma,25,80.63,A
1211,James,19,59.01,A
1212,Alice,19,94.29,F
1213,James,22,59.47,D
1214,Mike,23,58.85,C
1215,James,20,65.85,F
1216,Sara,25,59.32,D
1217,Nina,22,81.4,A
1218,Emma,20,95.43,B
1219,Sara,24,89.89,F
1220,David,24,77.02,B
1221,Emma,21,88.25,D
1222,Emma,24,69.03,F
1223,Mike,22,56.66,D
1224,James,21,90.75,C
1225,John,20,56.91,C
1226,Emma,25,67.42,D
1227,John,23,65.26,A
1228,Mike,25,72.46,F
1229,Mike,18,64.72,F
1230,Sara,21,86.08,F
1231,Tom,22,96.43,C
1232,Mike,24,75.06,F
1233,James,19,94.59,F
1234,David,18,76.86,D
1235,Nina,23,66.91,C
1236,Nina,25,80.49,C
1237,Alice,19,85.97,B
1238,Tom,25,93.94,A
1239,John,18,80.54,C
1240,James,25,57.08,C
1241,Alice,19,54.81,C
1242,Nina,22,94.19,A
1243,Emma,18,53.98,C
1244,Rachel,21,76.57,C
1245,Tom,19,79.33,F
1246,Nina,23,65.33,F
1247,Nina,20,79.26,B
1248,Emma,19,83.05,C
1249,John,18,73.05,F
1250,Sara,24,78.78,D
1251,Tom,24,93.59,B
1252,Tom,25,81.85,F
1253,David,20,85.19,F
1254,Alice,20,69.85,B
1255,Tom,24,68.92,F
1256,Emma,25,51.44,F
1257,James,19,90.81,B
1258,Nina,24,52.46,B
1259,Emma,25,98.73,F
1260,Alice,20,58.09,C
1261,James,20,85.44,F
1262,Alice,21,78.16,B
1263,Emma,20,79.85,D
1264,Alice,24,71.95,A
1265,Tom,24,58.49,B
1266,Nina,19,53.79,A
1267,Mike,19,63.51,D
1268,Tom,21,87.78,A
1269,Sara,24,90.9,D
1270,Alice,25,97.53,D
1271,Sara,25,51.23,B
1272,James,18,50.48,B
1273,Tom,22,74.84,B
1274,Rachel,18,59.57,D
1275,Rachel,24,96.7,B
1276,Sara,18,56.55,A
1277,David,23,61.22,B
1278,Sara,20,69.33,A
1279,Rachel,22,92.26,D
1280,James,25,51.52,A
1281,Mike,21,59.78,D
1282,Mike,22,54.42,A
1283,David,22,80.01,D
1284,Alice,20,60.18,F
1285,James,25,81.35,D
1286,Mike,25,50.91,B
1287,Rachel,18,56.28,A
1288,Rachel,22,75.72,F
1289,Mike,18,93.13,A
1290,Mike,23,81.66,B
1291,James,24,92.56,F
1292,Emma,19,75.93,A
1293,Rachel,21,78.38,F
1294,David,24,94.82,B
1295,Rachel,25,60.41,C
1296,Mike,25,55.54,A
1297,Emma,18,69.88,B
1298,Alice,22,67.03,C
1299,Sara,22,60.92,C
1300,John,22,63.77,B
1301,Alice,19,57.57,C
1302,Nina,20,59.82,D
1303,Mike,18,90.03,D
1304,Rachel,24,73.77,A
1305,Mike,25,71.75,A
1306,Mike,19,73.55,A
1307,Rachel,20,99.32,A
1308,Tom,21,71.49,A
1309,Nina,23,62.09,D
1310,Mike,19,66.13,A
1311,Emma,22,99.58,B
1312,Nina,24,59.26,A
1313,Emma,21,80.78,A
1314,Nina,22,77.58,D
1315,Nina,25,62.89,A
1316,Mike,21,97.95,C
1317,Rachel,21,72.74,F
1318,Emma,20,72.5,C
1319,Emma,24,73.33,C
1320,Emma,24,67.22,D
1321,Tom,20,88.84,F
1322,Rachel,22,53.85,F
1323,David,21,88.37,C
1324,Mike,24,58.62,C
1325,Nina,25,97.54,C
1326,James,24,73.12,A
1327,Alice,19,53.75,F
1328,Rachel,19,66.25,B
1329,Sara,21,59.82,D
1330,Nina,21,84.81,D
1331,James,25,81.93,A
1332,Tom,19,93.73,F
1333,Sara,20,63.3,B
1334,Sara,25,72.22,C
1335,Tom,25,85.0,A
1336,James,23,86.42,D
1337,Tom,24,63.99,C
1338,Nina,20,54.73,B
1339,Alice,20,61.79,C
1340,Nina,24,67.02,D
1341,John,22,85.32,C
1342,James,18,76.33,B
1343,Alice,25,66.56,D
1344,Sara,18,66.37,C
1345,Tom,22,50.01,C
1346,Nina,25,63.63,C
1347,Rachel,23,57.15,A
1348,Sara,25,56.69,A
1349,Nina,19,98.82,C
1350,Alice,24,97.8,C
1351,Tom,23,78.08,F
1352,Rachel,21,82.35,A
1353,John,20,90.43,A
1354,James,22,83.73,B
1355,Rachel,21,86.77,D
1356,David,23,50.11,C
1357,Alice,24,90.17,A
1358,Tom,23,85.69,A
1359,David,22,70.98,B
1360,Alice,21,99.33,F
1361,John,22,90.23,C
1362,David,21,65.09,F
1363,Rachel,20,54.61,B
1364,Rachel,23,86.25,A
1365,James,20,75.36,A
1366,John,24,50.84,A
1367,Sara,19,98.9,D
1368,David,25,65.9,B
1369,James,21,92.93,F
1370,Tom,18,59.32,A
1371,John,21,83.72,C
1372,Tom,25,99.83,C
1373,David,24,57.02,C
1374,Emma,23,84.67,F
1375,James,24,87.38,A
1376,Mike,23,85.66,F
1377,James,25,84.03,D
1378,Sara,19,73.55,F
1379,Alice,24,51.99,C
1380,James,22,98.47,C
1381,James,23,66.79,A
1382,Sara,25,54.19,B
1383,Sara,23,55.93,A
1384,Nina,20,56.89,B
1385,Emma,18,61.26,A
1386,Mike,24,51.58,C
1387,David,18,51.2,C
1388,Nina,20,82.8,B
1389,Rachel,20,88.75,D
1390,Tom,18,85.98,A
1391,Mike,24,52.59,B
1392,Mike,22,55.5,F
1393,James,22,86.26,D
1394,James,22,84.54,C
1395,Mike,18,81.04,C
1396,Rachel,23,53.71,C
1397,Rachel,25,58.85,A
1398,Mike,24,84.61,C
1399,Alice,18,51.05,F
1400,James,24,91.91,D
1401,Emma,20,94.67,B
1402,Sara,24,59.15,D
1403,Tom,23,54.79,C
1404,Sara,20,55.26,F
1405,James,22,65.23,C
1406,Nina,22,79.19,B
1407,Emma,25,82.25,F
1408,Rachel,19,93.32,B
1409,Rachel,21,50.24,A
1410,Emma,19,68.6,A
1411,John,24,79.83,A
1412,Tom,24,84.95,F
1413,Alice,19,86.05,D
1414,Tom,25,66.66,A
1415,Rachel,22,65.51,C
1416,Sara,22,51.11,F
1417,Emma,24,56.59,F
1418,Alice,21,61.54,C
1419,Rachel,20,62.21,C
1420,Mike,19,87.72,F
1421,Mike,19,57.78,F
1422,Sara,21,95.17,F
1423,Sara,22,57.46,B
1424,Sara,18,79.47,F
1425,Tom,25,93.36,F
1426,James,19,90.83,A
1427,Sara,18,91.0,F
1428,Sara,23,92.44,B
1429,Tom,23,95.49,C
1430,John,20,50.75,A
1431,Nina,22,79.25,A
1432,Sara,24,97.23,A
1433,Sara,19,66.44,F
1434,James,19,60.44,F
1435,John,20,70.88,F
1436,James,23,54.54,D
1437,James,24,77.11,D
1438,John,19,89.49,A
1439,Rachel,22,61.79,F
1440,James,25,92.72,D
1441,David,23,94.31,A
1442,Emma,23,58.97,F
1443,Alice,25,94.45,C
1444,Sara,20,69.22,D
1445,Nina,24,50.12,B
1446,Mike,19,92.95,F
1447,Emma,18,83.28,B
1448,Emma,22,50.95,F
1449,Sara,23,74.29,C
1450,Mike,23,95.34,D
1451,Mike,18,84.56,B
1452,Emma,23,53.98,D
1453,John,19,57.44,C
1454,Sara,23,55.79,F
1455,David,20,80.69,A
1456,Sara,20,59.75,F
1457,Nina,21,66.49,A
1458,Rachel,24,69.54,F
1459,Nina,24,64.6,B
1460,Sara,20,65.29,A
1461,Tom,20,90.16,A
1462,Sara,24,94.97,F
1463,Nina,23,56.69,B
1464,Tom,23,93.63,D
1465,Alice,25,78.62,A
1466,Mike,20,58.93,B
1467,Emma,22,59.21,D
1468,James,18,97.79,A
1469,Tom,22,82.02,C
1470,James,19,98.19,B
1471,Emma,20,62.29,C
1472,John,23,92.16,A
1473,Emma,20,89.51,F
1474,Rachel,22,99.95,A
1475,James,21,69.57,D
1476,Rachel,20,82.91,A
1477,John,22,95.87,A
1478,James,19,97.31,A
1479,David,18,67.84,D
1480,James,23,57.55,C
1481,Alice,20,78.09,C
1482,Tom,19,75.54,D
1483,Emma,19,63.57,D
1484,David,22,70.67,B
1485,John,23,99.52,D
1486,Emma,25,82.48,F
1487,James,20,80.02,D
1488,Emma,22,68.98,F
1489,John,19,84.29,D
1490,Rachel,19,89.6,A
1491,Sara,25,92.49,A
1492,Tom,23,79.47,A
1493,David,22,94.15,F
1494,Nina,19,95.65,B
1495,Rachel,20,90.33,B
1496,David,21,73.12,B
1497,Sara,25,80.75,C
1498,Nina,19,54.47,F
1499,James,20,81.08,A
1500,Rachel,22,97.72,C
1501,Mike,21,84.44,A
1502,Tom,18,69.16,D
1503,Mike,23,87.44,F
1504,Sara,20,83.7,A
1505,Emma,20,63.02,B
1506,Alice,19,51.96,A
1507,David,22,59.93,F
1508,Emma,23,59.75,B
1509,David,20,81.07,C
1510,Alice,24,64.69,F
1511,James,24,57.8,D
1512,Mike,25,70.57,C
1513,Sara,21,54.45,C
1514,Mike,22,89.79,B
1515,Rachel,19,76.31,C
1516,Emma,24,73.02,C
1517,Mike,21,52.0,B
1518,James,21,78.72,F
1519,Sara,24,63.01,F
1520,James,24,52.93,F
1521,Nina,21,99.43,A
1522,James,25,82.93,A
1523,Sara,18,68.82,A
1524,Rachel,18,76.28,D
1525,Mike,21,79.13,B
1526,Mike,21,55.18,F
1527,Mike,21,91.77,F
1528,Emma,25,62.95,D
1529,Mike,19,54.15,C
1530,Nina,23,58.36,C
1531,Mike,25,89.9,C
1532,Sara,19,73.03,F
1533,Rachel,20,66.61,D
1534,John,18,89.85,D
1535,Rachel,23,56.4,C
1536,Tom,22,60.59,A
1537,Tom,20,69.16,D
1538,Tom,18,85.1,F
1539,James,19,62.01,B
1540,James,23,76.74,A
1541,Sara,24,93.34,C
1542,John,23,57.96,A
1543,Nina,25,95.97,F
1544,Emma,20,50.24,C
1545,Alice,25,60.7,B
1546,Rachel,25,93.96,F
1547,Rachel,21,72.85,F
1548,Emma,21,85.66,B
1549,Emma,21,82.2,F
1550,Mike,22,77.94,B
1551,John,25,63.27,C
1552,Tom,20,55.7,F
1553,Mike,21,75.98,C
1554,Emma,25,69.87,F
1555,Tom,23,50.67,A
1556,Nina,19,84.3,C
1557,John,19,67.94,A
1558,Sara,18,71.45,C
1559,Sara,18,69.76,C
1560,James,20,83.37,D
1561,Tom,25,70.51,B
1562,David,24,71.01,C
1563,Rachel,22,77.23,D
1564,John,18,77.97,B
1565,Tom,24,61.52,A
1566,Tom,23,60.07,A
1567,Mike,22,54.09,B
1568,Sara,24,56.81,B
1569,Mike,19,62.18,F
1570,Mike,24,80.48,F
1571,Sara,24,61.08,C
1572,Emma,19,78.45,C
1573,Tom,24,58.27,C
1574,Nina,19,80.25,D
1575,Sara,20,86.96,F
1576,Mike,20,78.01,C
1577,David,22,71.17,A
1578,John,22,60.25,F
1579,Tom,21,79.94,C
1580,David,21,83.09,B
1581,Sara,25,83.12,F
1582,Alice,23,68.14,B
1583,Nina,21,77.17,D
1584,Emma,22,63.44,B
1585,James,21,78.84,F
1586,Nina,21,62.49,C
1587,Tom,18,70.78,A
1588,Tom,21,88.32,C
1589,James,19,58.55,B
1590,Tom,23,87.61,B
1591,Rachel,21,98.22,F
1592,John,18,56.08,B
1593,David,25,73.25,B
1594,Emma,25,85.96,C
1595,Sara,21,52.65,B
1596,Rachel,19,54.65,C
1597,David,18,73.66,A
1598,Nina,25,88.17,B
1599,Mike,19,77.3,C
1600,Sara,19,96.16,F
1601,Emma,22,65.52,A
1602,Sara,20,86.55,F
1603,Rachel,18,64.22,C
1604,David,18,50.18,D
1605,James,25,76.43,C
1606,Nina,19,65.95,B
1607,Tom,25,51.89,C
1608,Alice,19,66.58,C
1609,Mike,18,68.2,C
1610,Rachel,18,58.63,F
1611,Rachel,25,50.43,C
1612,Emma,22,85.98,A
1613,Sara,20,51.84,B
1614,Tom,22,65.85,B
1615,Tom,18,91.59,D
1616,David,22,97.24,C
1617,James,23,54.63,D
1618,Rachel,18,84.31,B
1619,John,25,57.62,C
1620,Tom,24,57.82,C
1621,John,25,66.59,A
1622,Emma,23,94.5,F
1623,John,25,85.46,C
1624,Emma,21,66.24,B
1625,Mike,19,73.71,F
1626,Emma,22,88.2,C
1627,Sara,18,61.41,A
1628,James,25,61.39,C
1629,Nina,22,62.0,A
1630,Nina,21,64.24,B
1631,Tom,25,81.06,B
1632,Mike,20,67.59,F
1633,David,20,68.87,F
1634,Sara,23,71.24,A
1635,David,21,91.11,F
1636,David,23,67.85,D
1637,Rachel,19,86.05,A
1638,Nina,21,84.01,D
1639,Sara,25,86.8,F
1640,Nina,23,92.87,B
1641,Emma,25,91.19,C
1642,Tom,24,79.95,F
1643,Alice,22,66.99,B
1644,Tom,22,50.72,A
1645,James,19,64.65,F
1646,John,20,62.95,C
1647,Tom,21,97.04,D
1648,John,22,67.03,A
1649,Sara,25,93.9,C
1650,John,21,59.99,A
1651,Alice,20,76.71,A
1652,Tom,22,78.72,D
1653,Mike,21,70.61,F
1654,Nina,19,65.49,D
1655,John,20,70.77,D
1656,Sara,25,57.06,A
1657,Nina,22,64.28,D
1658,Mike,21,53.31,C
1659,Nina,20,51.72,D
1660,Tom,18,60.22,A
1661,John,21,51.49,A
1662,Rachel,18,73.37,A
1663,James,19,56.7,B
1664,Tom,20,82.72,D
1665,Rachel,23,82.36,D
1666,Mike,19,63.52,D
1667,Emma,19,96.45,A
1668,Nina,21,53.85,C
1669,Sara,23,98.49,F
1670,Mike,22,99.3,B
1671,Emma,22,53.7,B
1672,Mike,18,71.97,F
1673,James,19,57.39,C
1674,Sara,21,77.01,B
1675,Emma,21,84.07,A
1676,Sara,23,99.97,A
1677,Mike,23,54.29,B
1678,Alice,21,93.72,D
1679,Sara,19,79.15,A
1680,Sara,18,65.06,D
1681,James,22,50.65,B
1682,Emma,19,60.05,A
1683,Emma,22,71.12,B
1684,David,21,60.96,F
1685,Rachel,24,89.61,C
1686,Emma,22,50.63,D
1687,Nina,21,50.82,A
1688,David,22,89.9,A
1689,Sara,25,89.02,D
1690,Alice,19,89.32,D
1691,James,20,71.38,F
1692,John,22,85.73,C
1693,Alice,18,97.22,A
1694,James,25,81.74,F
1695,John,19,76.34,B
1696,John,21,63.39,D
1697,Emma,25,74.22,A
1698,James,19,50.58,B
1699,Alice,25,85.21,A
1700,John,23,58.23,A
1701,Sara,19,82.93,A
1702,Nina,21,94.75,A
1703,Rachel,25,85.77,D
1704,Rachel,22,72.6,C
1705,Mike,25,84.68,C
1706,David,18,51.88,F
1707,David,18,96.39,F
1708,Sara,21,87.17,B
1709,James,19,70.43,F
1710,Mike,25,65.76,D
1711,Sara,19,52.69,B
1712,James,23,69.53,C
1713,Nina,18,70.04,C
1714,Rachel,20,88.9,C
1715,Emma,23,95.61,B
1716,Sara,25,99.3,D
1717,Emma,21,88.76,F
1718,Sara,21,66.77,C
1719,Emma,19,86.3,F
1720,David,25,93.2,D
1721,Alice,18,62.93,F
1722,Sara,20,74.71,C
1723,Mike,24,98.28,C
1724,Emma,22,53.57,C
1725,Alice,18,64.87,F
1726,Alice,23,91.74,B
1727,James,24,60.81,C
1728,John,21,94.52,C
1729,Rachel,19,81.12,B
1730,David,21,60.21,B
1731,John,22,83.52,B
1732,Tom,20,74.01,F
1733,Rachel,18,76.27,A
1734,Rachel,20,72.63,C
1735,Emma,22,69.08,B
1736,John,25,59.61,A
1737,Nina,21,98.63,C
1738,Tom,23,60.5,A
1739,Rachel,24,99.1,A
1740,Tom,20,93.43,C
1741,David,22,73.88,A
1742,Mike,23,72.36,C
1743,Tom,20,69.47,F
1744,Mike,23,88.99,C
1745,Mike,19,84.45,F
1746,David,19,78.88,A
1747,Emma,25,76.09,D
1748,James,18,81.58,B
1749,Tom,22,94.99,B
1750,Alice,23,67.64,A
1751,Nina,18,90.78,D
1752,Rachel,24,98.44,A
1753,James,18,63.37,C
1754,Rachel,23,92.04,F
1755,Mike,22,89.59,C
1756,Alice,23,56.85,A
1757,Nina,20,82.58,C
1758,Mike,21,83.12,C
1759,Sara,20,96.69,A
1760,Mike,20,77.62,A
1761,David,24,78.69,C
1762,Sara,21,87.79,C
1763,Nina,24,96.82,D
1764,Sara,21,57.31,F
1765,Rachel,22,52.83,F
1766,Mike,25,55.76,A
1767,Rachel,21,77.42,F
1768,Tom,22,50.19,C
1769,David,18,64.45,C
1770,Tom,22,84.24,D
1771,Mike,20,57.37,F
1772,Alice,18,94.99,C
1773,Tom,23,92.24,C
1774,David,22,55.59,B
1775,James,19,97.94,C
1776,Alice,24,66.42,F
1777,Emma,24,89.51,B
1778,David,23,89.65,D
1779,John,23,66.53,D
1780,Sara,22,81.52,B
1781,Nina,19,77.72,D
1782,Alice,18,66.07,B
1783,Sara,24,69.37,C
1784,Emma,25,91.88,B
1785,Alice,22,98.62,D
1786,Emma,24,76.2,A
1787,Nina,20,70.09,A
1788,David,20,56.16,C
1789,David,24,94.7,C
1790,Nina,23,59.45,D
1791,Mike,21,57.58,B
1792,Nina,21,95.2,B
1793,Mike,22,68.32,C
1794,Mike,22,78.53,C
1795,Rachel,19,56.37,A
1796,David,21,72.15,F
1797,Nina,19,77.04,B
1798,David,20,60.27,B
1799,Nina,20,63.03,A
1800,Rachel,20,66.68,F
1801,James,24,97.44,B
1802,Sara,20,54.69,D
1803,Alice,24,68.13,D
1804,David,25,62.9,B
1805,Nina,22,53.65,D
1806,David,18,58.02,B
1807,James,22,62.07,A
1808,Mike,21,88.67,D
1809,Nina,21,52.02,C
1810,John,25,94.62,B
1811,Sara,25,85.85,C
1812,James,19,53.79,D
1813,Sara,20,60.52,C
1814,Alice,20,91.48,F
1815,Emma,21,76.42,C
1816,Alice,23,90.38,C
1817,John,25,88.67,A
1818,Rachel,25,85.47,B
1819,John,21,55.53,C
1820,Rachel,21,94.61,B
1821,Rachel,18,50.03,A
1822,Alice,19,95.2,D
1823,Sara,24,56.69,B
1824,James,24,71.57,B
1825,Sara,21,83.96,A
1826,James,19,80.99,A
1827,Sara,25,91.0,A
1828,James,24,51.88,A
1829,Alice,23,72.73,A
1830,James,21,55.37,B
1831,Nina,25,86.33,C
1832,Rachel,18,53.87,A
1833,John,18,78.39,F
1834,David,18,67.74,C
1835,David,22,62.09,C
1836,Tom,19,62.85,D
1837,Nina,18,97.57,D
1838,Rachel,23,66.71,A
1839,Emma,24,98.49,B
1840,John,19,61.24,A
1841,David,20,65.73,B
1842,Tom,25,66.21,D
1843,Alice,23,62.84,D
1844,Mike,19,93.39,D
1845,Sara,18,82.78,A
1846,Alice,19,88.56,B
1847,John,23,81.47,B
1848,James,23,62.56,D
1849,Emma,21,87.03,B
1850,Mike,18,54.5,C
1851,Alice,21,72.0,C
1852,Tom,21,96.02,F
1853,Rachel,18,75.42,B
1854,Alice,25,80.19,A
1855,James,24,70.43,A
1856,Mike,20,52.19,C
1857,Tom,22,76.22,D
1858,Rachel,19,92.7,F
1859,David,25,77.83,F
1860,Nina,22,88.92,D
1861,James,21,81.15,B
1862,John,24,96.4,C
1863,Rachel,20,87.27,A
1864,Sara,19,71.96,A
1865,Nina,21,74.93,F
1866,James,24,51.5,C
1867,James,24,93.29,D
1868,Rachel,19,58.92,C
1869,John,23,74.22,A
1870,Emma,21,59.1,B
1871,Alice,23,86.39,F
1872,David,18,90.35,D
1873,Rachel,24,80.26,F
1874,Tom,23,50.14,B
1875,Tom,23,61.28,C
1876,James,18,81.29,F
1877,James,19,65.74,C
1878,Tom,19,58.65,B
1879,Mike,22,73.8,F
1880,Alice,19,62.43,F
1881,Nina,20,60.66,D
1882,Rachel,23,65.83,A
1883,Tom,23,65.02,D
1884,Tom,24,60.91,F
1885,Nina,25,95.85,D
1886,James,20,75.46,A
1887,Alice,20,99.73,F
1888,Rachel,19,72.08,B
1889,Rachel,19,75.95,D
1890,Sara,22,76.42,D
1891,Alice,24,92.76,A
1892,Rachel,22,73.25,B
1893,Alice,25,59.86,D
1894,David,24,88.06,A
1895,Tom,23,86.13,F
1896,Mike,18,85.68,F
1897,Sara,21,88.68,D
1898,Alice,18,74.03,D
1899,John,20,61.02,B
1900,Mike,23,75.89,F
1901,Tom,23,97.38,A
1902,David,23,92.19,C
1903,David,19,95.19,C
1904,Alice,18,61.72,D
1905,Alice,24,70.14,B
1906,Mike,23,90.37,B
1907,Alice,20,80.26,C
1908,Alice,25,53.42,A
1909,Tom,25,86.27,F
1910,Nina,25,75.24,F
1911,James,19,75.32,C
1912,Alice,25,61.32,A
1913,Emma,20,54.64,F
1914,David,23,74.47,B
1915,Mike,23,99.9,B
1916,Emma,21,70.44,F
1917,John,24,69.35,F
1918,Tom,18,87.19,F
1919,James,23,78.82,B
1920,John,22,98.12,B
1921,Sara,18,73.17,C
1922,David,25,64.36,A
1923,Emma,25,86.3,D
1924,Nina,25,76.29,C
1925,Nina,24,95.7,D
1926,Nina,19,78.81,D
1927,Alice,23,58.09,F
1928,David,18,66.87,F
1929,Tom,20,52.38,F
1930,David,18,63.84,B
1931,Nina,20,90.3,D
1932,Mike,24,95.96,C
1933,Rachel,21,73.97,F
1934,John,18,98.05,B
1935,Rachel,22,85.61,F
1936,Sara,24,69.35,F
1937,David,19,78.34,C
1938,Mike,18,91.98,F
1939,Mike,21,92.1,F
1940,James,23,78.27,D
1941,James,20,60.38,C
1942,Tom,22,77.61,C
1943,Nina,21,55.62,B
1944,Sara,20,57.84,D
1945,James,21,68.05,F
1946,John,21,71.96,B
1947,James,25,94.2,B
1948,Tom,24,54.35,C
1949,Mike,20,52.18,C
1950,Nina,23,74.85,D
1951,Rachel,22,87.6,F
1952,Tom,22,65.66,A
1953,Rachel,18,93.74,A
1954,David,24,57.03,A
1955,Nina,21,56.99,B
1956,Sara,19,75.53,D
1957,Tom,19,67.46,D
1958,David,24,50.38,A
1959,David,24,67.82,F
1960,John,24,93.33,C
1961,John,20,71.47,F
1962,Alice,24,74.43,F
1963,James,18,67.28,F
1964,Emma,18,66.89,F
1965,Nina,21,62.69,A
1966,Tom,18,78.05,A
1967,Alice,24,92.86,A
1968,James,23,78.78,F
1969,Alice,20,63.14,B
1970,James,25,60.08,B
1971,James,23,78.42,F
1972,John,24,75.66,C
1973,Sara,25,82.59,F
1974,John,24,56.86,D
1975,Mike,19,57.1,C
1976,Mike,25,79.79,D
1977,James,22,97.05,C
1978,Nina,23,71.75,F
1979,David,19,61.46,C
1980,David,19,99.32,C
1981,Tom,18,82.18,C
1982,Emma,23,77.79,F
1983,Mike,23,80.01,C
1984,Tom,25,54.75,F
1985,Tom,25,65.81,F
1986,Emma,20,96.2,B
1987,Sara,19,92.87,F
1988,David,19,69.42,B
1989,Sara,20,64.48,B
1990,Emma,25,94.16,D
1991,John,24,89.46,B
1992,Alice,19,60.81,C
